Input Size,Condition,Algorithm,Execution Time (sec),Memory Usage (KB)
100,Sorted,Bubble Sort,3.2500000088475645e-05,0.203125
100,Sorted,Insertion Sort,3.0399998649954796e-05,0.171875
100,Sorted,Merge Sort,0.0004716000003099907,3.8818359375
100,Sorted,Quick Sort,0.0013485999988915864,1.2060546875
100,Reverse Sorted,Bubble Sort,0.001471200001105899,0.15625
100,Reverse Sorted,Insertion Sort,0.0005432999969343655,0.109375
100,Reverse Sorted,Merge Sort,0.00038839999979245476,1.953125
100,Reverse Sorted,Quick Sort,0.0009017000011226628,0.5390625
100,Random,Bubble Sort,0.0007638999995833728,0.15625
100,Random,Insertion Sort,0.00045029999819234945,0.109375
100,Random,Merge Sort,0.00043000000005122274,1.953125
100,Random,Quick Sort,0.00019729999985429458,0.5390625
500,Sorted,Bubble Sort,0.0005414999977801926,0.29296875
500,Sorted,Insertion Sort,0.0005920000003243331,0.19921875
500,Sorted,Merge Sort,0.003500200000416953,8.4453125
500,Sorted,Quick Sort,0.08427920000031008,23.3203125
500,Reverse Sorted,Bubble Sort,0.09776440000132425,0.33984375
500,Reverse Sorted,Insertion Sort,0.05651570000190986,9.6455078125
500,Reverse Sorted,Merge Sort,0.0022719000007782597,10.7568359375
500,Reverse Sorted,Quick Sort,0.15129730000262498,23.3203125
500,Random,Bubble Sort,0.08639989999937825,5.7431640625
500,Random,Insertion Sort,0.03667719999793917,2.5615234375
500,Random,Merge Sort,0.0034011999996437225,8.2265625
500,Random,Quick Sort,0.00561569999990752,2.0703125
1000,Sorted,Bubble Sort,0.0009082000033231452,0.29296875
1000,Sorted,Insertion Sort,0.0013550000003306195,0.19921875
1000,Sorted,Merge Sort,0.007349600000452483,16.2109375
1000,Sorted,Quick Sort,1.3968720000011672,70.8515625
1000,Reverse Sorted,Bubble Sort,0.9175619999987248,6.025390625
1000,Reverse Sorted,Insertion Sort,0.44444599999769707,5.4140625
1000,Reverse Sorted,Merge Sort,0.0070903000014368445,16.9521484375
1000,Reverse Sorted,Quick Sort,2.1155625999999756,70.6171875
1000,Random,Bubble Sort,0.7107050999984494,6.1796875
1000,Random,Insertion Sort,0.2899280000019644,5.6572265625
1000,Random,Merge Sort,0.008811499999865191,16.9521484375
1000,Random,Quick Sort,0.013070299999526469,2.2578125
2000,Sorted,Bubble Sort,0.002494000000297092,0.29296875
2000,Sorted,Insertion Sort,0.003481100000499282,0.19921875
2000,Sorted,Merge Sort,0.023765300000377465,31.8984375
2000,Sorted,Quick Sort,16.287914500000625,165.267578125
2000,Reverse Sorted,Bubble Sort,5.6711372999998275,6.009765625
2000,Reverse Sorted,Insertion Sort,3.313528700000461,6.291015625
2000,Reverse Sorted,Merge Sort,0.033431100000598235,34.3818359375
2000,Reverse Sorted,Quick Sort,20.76072959999874,163.6826171875
2000,Random,Bubble Sort,4.6595436000025074,5.896484375
100,Sorted,Bubble Sort,1.9400002202019095e-05,9977.634765625
100,Sorted,Insertion Sort,2.849999873433262e-05,0.109375
100,Sorted,Merge Sort,0.00034109999978682026,2.1171875
100,Sorted,Quick Sort,0.0015371000008599367,0.5390625
100,Reverse Sorted,Bubble Sort,0.0012902999988000374,0.15625
100,Reverse Sorted,Insertion Sort,0.0004955000003974419,0.109375
100,Reverse Sorted,Merge Sort,0.0003105000032519456,1.953125
100,Reverse Sorted,Quick Sort,0.0006866999974590726,0.5390625
100,Random,Bubble Sort,0.0005434999984572642,0.15625
100,Random,Insertion Sort,0.00023680000231252052,0.109375
100,Random,Merge Sort,0.00032809999902383424,1.953125
100,Random,Quick Sort,0.0002021000000240747,0.5390625
500,Sorted,Bubble Sort,0.0002779000024020206,0.29296875
500,Sorted,Insertion Sort,0.00043820000064442866,0.19921875
500,Sorted,Merge Sort,0.0020251999994798098,8.4453125
500,Sorted,Quick Sort,0.08229539999956614,23.3203125
500,Reverse Sorted,Bubble Sort,0.09726339999906486,0.33984375
500,Reverse Sorted,Insertion Sort,0.060466899998573354,9.9599609375
500,Reverse Sorted,Merge Sort,0.002230400001280941,10.7880859375
500,Reverse Sorted,Quick Sort,0.1501330000028247,23.3203125
500,Random,Bubble Sort,0.08539540000128909,5.96875
500,Random,Insertion Sort,0.03912280000076862,2.5615234375
500,Random,Merge Sort,0.002837700001691701,8.2265625
500,Random,Quick Sort,0.004871599998296006,2.0703125
1000,Sorted,Bubble Sort,0.0009169000004476402,0.29296875
1000,Sorted,Insertion Sort,0.0014574999986507464,0.19921875
1000,Sorted,Merge Sort,0.008212799999455456,16.2109375
1000,Sorted,Quick Sort,1.7708141000002797,70.900390625
1000,Reverse Sorted,Bubble Sort,1.311821899998904,5.908203125
1000,Reverse Sorted,Insertion Sort,0.5221173000027193,5.4169921875
1000,Reverse Sorted,Merge Sort,0.009772800000064308,18.5849609375
1000,Reverse Sorted,Quick Sort,2.4473519999992277,70.359375
1000,Random,Bubble Sort,0.7441304999993008,5.892578125
1000,Random,Insertion Sort,0.31968879999840283,5.642578125
1000,Random,Merge Sort,0.010680300001695286,18.5849609375
1000,Random,Quick Sort,0.014583199998014607,2.5390625
2000,Sorted,Bubble Sort,0.0024336999995284714,0.29296875
2000,Sorted,Insertion Sort,0.003914299999451032,0.19921875
2000,Sorted,Merge Sort,0.026516400001128204,31.8984375
2000,Sorted,Quick Sort,17.044072100001358,165.6640625
2000,Reverse Sorted,Bubble Sort,4.973099800001364,6.1376953125
2000,Reverse Sorted,Insertion Sort,2.546111599996948,5.6572265625
2000,Reverse Sorted,Merge Sort,0.025166600000375183,34.1318359375
2000,Reverse Sorted,Quick Sort,18.576890700001968,164.4296875
2000,Random,Bubble Sort,3.8892840999978944,5.8349609375
2000,Random,Insertion Sort,1.5655488000011246,5.642578125
2000,Random,Merge Sort,0.027400099999795202,33.9912109375
2000,Random,Quick Sort,0.038383999999496154,2.9140625
